City,geography,Ethnic group (20 categories) Code,Ethnic group (20 categories),Proxy_Flag,Proxy_Source,Observation,Source_Area_Count,Source_Areas
Salisbury,South West,6,"Black, Black British, Black Welsh, Caribbean or African: African",True,area_to_city,2984,1,Wiltshire
Salisbury,South West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",True,area_to_city,1589,1,Wiltshire
Salisbury,South West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",True,area_to_city,1213,1,Wiltshire
Salisbury,South West,9,Mixed or Multiple ethnic groups: White and Asian,True,area_to_city,2703,1,Wiltshire
Salisbury,South West,10,Mixed or Multiple ethnic groups: White and Black African,True,area_to_city,1161,1,Wiltshire
Salisbury,South West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,True,area_to_city,2479,1,Wiltshire
Salisbury,South West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,True,area_to_city,2366,1,Wiltshire
Salisbury,South West,13,"White: English, Welsh, Scottish, Northern Irish or British",True,area_to_city,459594,1,Wiltshire
Salisbury,South West,14,White: Irish,True,area_to_city,2591,1,Wiltshire
Salisbury,South West,15,White: Gypsy or Irish Traveller,True,area_to_city,711,1,Wiltshire
Salisbury,South West,16,White: Roma,True,area_to_city,260,1,Wiltshire
Salisbury,South West,17,White: Other White,True,area_to_city,18257,1,Wiltshire
Salisbury,South West,18,Other ethnic group: Arab,True,area_to_city,637,1,Wiltshire
Salisbury,South West,19,Other ethnic group: Any other ethnic group,True,area_to_city,2912,1,Wiltshire
Sheffield,Yorkshire and The Humber,-8,Does not apply,False,direct_or_alias,0,1,Sheffield
Sheffield,Yorkshire and The Humber,1,"Asian, Asian British or Asian Welsh: Bangladeshi",False,direct_or_alias,4258,1,Sheffield
Sheffield,Yorkshire and The Humber,2,"Asian, Asian British or Asian Welsh: Chinese",False,direct_or_alias,7393,1,Sheffield
Sheffield,Yorkshire and The Humber,3,"Asian, Asian British or Asian Welsh: Indian",False,direct_or_alias,6798,1,Sheffield
Sheffield,Yorkshire and The Humber,4,"Asian, Asian British or Asian Welsh: Pakistani",False,direct_or_alias,27671,1,Sheffield
Sheffield,Yorkshire and The Humber,5,"Asian, Asian British or Asian Welsh: Other Asian",False,direct_or_alias,7440,1,Sheffield
Sheffield,Yorkshire and The Humber,6,"Black, Black British, Black Welsh, Caribbean or African: African",False,direct_or_alias,18237,1,Sheffield
Sheffield,Yorkshire and The Humber,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",False,direct_or_alias,4647,1,Sheffield
Sheffield,Yorkshire and The Humber,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",False,direct_or_alias,2628,1,Sheffield
Sheffield,Yorkshire and The Humber,9,Mixed or Multiple ethnic groups: White and Asian,False,direct_or_alias,5214,1,Sheffield
Sheffield,Yorkshire and The Humber,10,Mixed or Multiple ethnic groups: White and Black African,False,direct_or_alias,2431,1,Sheffield
Sheffield,Yorkshire and The Humber,11,Mixed or Multiple ethnic groups: White and Black Caribbean,False,direct_or_alias,7524,1,Sheffield
Sheffield,Yorkshire and The Humber,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,False,direct_or_alias,4535,1,Sheffield
Sheffield,Yorkshire and The Humber,13,"White: English, Welsh, Scottish, Northern Irish or British",False,direct_or_alias,414698,1,Sheffield
Sheffield,Yorkshire and The Humber,14,White: Irish,False,direct_or_alias,2750,1,Sheffield
Sheffield,Yorkshire and The Humber,15,White: Gypsy or Irish Traveller,False,direct_or_alias,341,1,Sheffield
Sheffield,Yorkshire and The Humber,16,White: Roma,False,direct_or_alias,2456,1,Sheffield
Sheffield,Yorkshire and The Humber,17,White: Other White,False,direct_or_alias,19971,1,Sheffield
Sheffield,Yorkshire and The Humber,18,Other ethnic group: Arab,False,direct_or_alias,8956,1,Sheffield
Sheffield,Yorkshire and The Humber,19,Other ethnic group: Any other ethnic group,False,direct_or_alias,8575,1,Sheffield
Southampton,South East,-8,Does not apply,False,direct_or_alias,0,1,Southampton
Southampton,South East,1,"Asian, Asian British or Asian Welsh: Bangladeshi",False,direct_or_alias,2064,1,Southampton
Southampton,South East,2,"Asian, Asian British or Asian Welsh: Chinese",False,direct_or_alias,4149,1,Southampton
Southampton,South East,3,"Asian, Asian British or Asian Welsh: Indian",False,direct_or_alias,9169,1,Southampton
Southampton,South East,4,"Asian, Asian British or Asian Welsh: Pakistani",False,direct_or_alias,4248,1,Southampton
Southampton,South East,5,"Asian, Asian British or Asian Welsh: Other Asian",False,direct_or_alias,6784,1,Southampton
Southampton,South East,6,"Black, Black British, Black Welsh, Caribbean or African: African",False,direct_or_alias,5627,1,Southampton
Southampton,South East,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",False,direct_or_alias,1103,1,Southampton
Southampton,South East,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",False,direct_or_alias,809,1,Southampton
Southampton,South East,9,Mixed or Multiple ethnic groups: White and Asian,False,direct_or_alias,2444,1,Southampton
Southampton,South East,10,Mixed or Multiple ethnic groups: White and Black African,False,direct_or_alias,1535,1,Southampton
