City,Year,Weekly_Pay,Type
Salisbury,2020,571.6,historical
Salisbury,2021,608.6,historical
Salisbury,2022,647.9,historical
Sheffield,2015,485.1,historical
Sheffield,2016,504.3,historical
Sheffield,2017,524.0,historical
Sheffield,2018,532.2,historical
Sheffield,2019,542.8,historical
Sheffield,2020,543.0,historical
Sheffield,2021,590.8,historical
Sheffield,2022,594.4,historical
Southampton,2015,502.4,historical
Southampton,2016,498.3,historical
Southampton,2017,521.0,historical
Southampton,2018,527.1,historical
Southampton,2019,553.1,historical
Southampton,2020,561.0,historical
Southampton,2021,608.2,historical
Southampton,2022,642.8,historical
Southend-on-Sea,2015,541.2,historical
Southend-on-Sea,2016,561.9,historical
Southend-on-Sea,2017,573.6,historical
Southend-on-Sea,2018,593.4,historical
Southend-on-Sea,2019,614.4,historical
Southend-on-Sea,2020,638.0,historical
Southend-on-Sea,2021,667.3,historical
Southend-on-Sea,2022,701.0,historical
St Albans,2015,700.5,historical
St Albans,2016,767.3,historical
St Albans,2017,761.9,historical
St Albans,2018,811.6,historical
St Albans,2019,766.6,historical
St Albans,2020,840.8,historical
St Albans,2021,862.4,historical
St Albans,2022,852.0,historical
St Asaph,2015,429.9,historical
St Asaph,2016,471.7,historical
St Asaph,2017,469.7,historical
St Asaph,2018,489.5,historical
St Asaph,2019,479.8,historical
St Asaph,2020,524.3,historical
St Asaph,2021,518.9,historical
St Asaph,2022,540.9,historical
St Davids,2015,466.2,historical
St Davids,2016,456.7,historical
St Davids,2017,458.0,historical
St Davids,2018,460.4,historical
St Davids,2019,488.5,historical
St Davids,2020,499.5,historical
St Davids,2021,569.4,historical
St Davids,2022,612.6,historical
Stoke on Trent,2015,434.5,historical
Stoke on Trent,2016,445.9,historical
Stoke on Trent,2017,465.5,historical
Stoke on Trent,2018,477.3,historical
Stoke on Trent,2019,500.5,historical
Stoke on Trent,2020,511.4,historical
Stoke on Trent,2021,518.2,historical
Stoke on Trent,2022,554.9,historical
Sunderland,2015,460.0,historical
Sunderland,2016,484.6,historical
Sunderland,2017,485.8,historical
Sunderland,2018,502.8,historical
Sunderland,2019,497.6,historical
Sunderland,2020,496.7,historical
Sunderland,2021,484.5,historical
Sunderland,2022,536.6,historical
Swansea,2015,489.4,historical
Swansea,2016,473.7,historical
Swansea,2017,499.7,historical
Swansea,2018,534.8,historical
Swansea,2019,563.9,historical
Swansea,2020,541.1,historical
Swansea,2021,554.6,historical
Swansea,2022,594.8,historical
Truro,2015,440.5,historical
Truro,2016,467.6,historical
Truro,2017,479.1,historical
Truro,2018,474.6,historical
Truro,2019,504.4,historical
Truro,2020,493.8,historical
Truro,2021,517.2,historical
Truro,2022,573.3,historical
Wakefield,2015,461.0,historical
Wakefield,2016,479.8,historical
Wakefield,2017,484.0,historical
Wakefield,2018,511.1,historical
Wakefield,2019,518.5,historical
Wakefield,2020,498.1,historical
Wakefield,2021,523.7,historical
Wakefield,2022,573.5,historical
Wells,2015,496.14,historical
Wells,2016,488.8,historical
Wells,2017,491.68,historical
Wells,2018,518.74,historical
Wells,2019,565.1,historical
Wells,2020,543.3000000000001,historical
Wells,2021,566.1,historical
Westminster,2015,766.5,historical
Westminster,2016,781.8,historical
Westminster,2017,807.4,historical
Westminster,2018,833.7,historical
Westminster,2019,812.8,historical
Westminster,2020,817.3,historical
Westminster,2021,840.5,historical
Westminster,2022,871.9,historical
Winchester,2015,639.3,historical
Winchester,2016,665.9,historical
Winchester,2017,682.5,historical
Winchester,2018,723.3,historical
Winchester,2019,690.7,historical
Winchester,2020,688.6,historical
Winchester,2021,695.6,historical
Winchester,2022,741.4,historical
Wolverhampton,2015,434.2,historical
Wolverhampton,2016,442.3,historical
Wolverhampton,2017,445.8,historical
Wolverhampton,2018,488.0,historical
Wolverhampton,2019,499.7,historical
Wolverhampton,2020,499.4,historical
Wolverhampton,2021,562.1,historical
Wolverhampton,2022,571.3,historical
Worcester,2015,528.1,historical
Worcester,2016,546.7,historical
Worcester,2017,546.2,historical
Worcester,2018,539.5,historical
Worcester,2019,546.3,historical
Worcester,2020,523.4,historical
Worcester,2021,579.2,historical
Worcester,2022,639.4,historical
Wrexham,2015,488.1,historical
Wrexham,2016,500.2,historical
Wrexham,2017,486.9,historical
Wrexham,2018,531.5,historical
Wrexham,2019,579.4,historical
Wrexham,2020,560.5,historical
Wrexham,2021,574.9,historical
Wrexham,2022,619.5,historical
York,2015,495.6,historical
York,2016,508.1,historical
York,2017,519.9,historical
York,2018,512.9,historical
York,2019,573.8,historical
York,2020,576.5,historical
York,2021,600.5,historical
York,2022,611.0,historical
