nomis_dataset,DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,SEX,SEX_NAME,SEX_CODE,SEX_TYPE,SEX_TYPECODE,SEX_SORTORDER,PAY,PAY_NAME,PAY_CODE,PAY_TYPE,PAY_TYPECODE,PAY_SORTORDER,ITEM,ITEM_NAME,ITEM_CODE,ITEM_TYPE,ITEM_TYPECODE,ITEM_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
NM_30_1,2003,2003,2003,date,0,1,2013265928,South East,E12000008,regions,480,7,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,0.8,A,Normal Value,F,Free (free for publication),Nm-30d1d32048e0d2013265928d8d1d2d20701,39,120
NM_30_1,2003,2003,2003,date,0,1,2013265929,South West,E12000009,regions,480,8,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,383.9,A,Normal Value,F,Free (free for publication),Nm-30d1d32048e0d2013265929d8d1d2d20100,40,120
NM_30_1,2003,2003,2003,date,0,1,2013265929,South West,E12000009,regions,480,8,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32048e0d2013265929d8d1d2d20701,41,120
NM_30_1,2003,2003,2003,date,0,1,2013265930,Wales,W92000004,regions,480,9,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,368.5,A,Normal Value,F,Free (free for publication),Nm-30d1d32048e0d2013265930d8d1d2d20100,42,120
NM_30_1,2003,2003,2003,date,0,1,2013265930,Wales,W92000004,regions,480,9,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.6,A,Normal Value,F,Free (free for publication),Nm-30d1d32048e0d2013265930d8d1d2d20701,43,120
NM_30_1,2003,2003,2003,date,0,1,2013265931,Scotland,S92000003,regions,480,10,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,381.8,A,Normal Value,F,Free (free for publication),Nm-30d1d32048e0d2013265931d8d1d2d20100,44,120
NM_30_1,2003,2003,2003,date,0,1,2013265931,Scotland,S92000003,regions,480,10,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32048e0d2013265931d8d1d2d20701,45,120
NM_30_1,2003,2003,2003,date,0,1,2013265932,Northern Ireland,N92000002,regions,480,11,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,352.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32048e0d2013265932d8d1d2d20100,46,120
NM_30_1,2003,2003,2003,date,0,1,2013265932,Northern Ireland,N92000002,regions,480,11,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.9,A,Normal Value,F,Free (free for publication),Nm-30d1d32048e0d2013265932d8d1d2d20701,47,120
NM_30_1,2004,2004,2004,date,0,2,2013265921,North East,E12000001,regions,480,0,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,368.8,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265921d8d1d2d20100,48,120
NM_30_1,2004,2004,2004,date,0,2,2013265921,North East,E12000001,regions,480,0,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.5,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265921d8d1d2d20701,49,120
NM_30_1,2004,2004,2004,date,0,2,2013265922,North West,E12000002,regions,480,1,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,395.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265922d8d1d2d20100,50,120
NM_30_1,2004,2004,2004,date,0,2,2013265922,North West,E12000002,regions,480,1,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,0.9,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265922d8d1d2d20701,51,120
NM_30_1,2004,2004,2004,date,0,2,2013265923,Yorkshire and The Humber,E12000003,regions,480,2,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,391.5,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265923d8d1d2d20100,52,120
NM_30_1,2004,2004,2004,date,0,2,2013265923,Yorkshire and The Humber,E12000003,regions,480,2,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.1,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265923d8d1d2d20701,53,120
NM_30_1,2004,2004,2004,date,0,2,2013265924,East Midlands,E12000004,regions,480,3,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,391.6,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265924d8d1d2d20100,54,120
NM_30_1,2004,2004,2004,date,0,2,2013265924,East Midlands,E12000004,regions,480,3,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.2,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265924d8d1d2d20701,55,120
NM_30_1,2004,2004,2004,date,0,2,2013265925,West Midlands,E12000005,regions,480,4,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,392.9,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265925d8d1d2d20100,56,120
NM_30_1,2004,2004,2004,date,0,2,2013265925,West Midlands,E12000005,regions,480,4,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265925d8d1d2d20701,57,120
NM_30_1,2004,2004,2004,date,0,2,2013265926,East,E12000006,regions,480,5,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,447.6,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265926d8d1d2d20100,58,120
NM_30_1,2004,2004,2004,date,0,2,2013265926,East,E12000006,regions,480,5,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265926d8d1d2d20701,59,120
NM_30_1,2004,2004,2004,date,0,2,2013265927,London,E12000007,regions,480,6,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,509.8,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265927d8d1d2d20100,60,120
NM_30_1,2004,2004,2004,date,0,2,2013265927,London,E12000007,regions,480,6,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,0.8,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265927d8d1d2d20701,61,120
NM_30_1,2004,2004,2004,date,0,2,2013265928,South East,E12000008,regions,480,7,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,461.8,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265928d8d1d2d20100,62,120
NM_30_1,2004,2004,2004,date,0,2,2013265928,South East,E12000008,regions,480,7,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,0.7,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265928d8d1d2d20701,63,120
NM_30_1,2004,2004,2004,date,0,2,2013265929,South West,E12000009,regions,480,8,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,396.9,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265929d8d1d2d20100,64,120
NM_30_1,2004,2004,2004,date,0,2,2013265929,South West,E12000009,regions,480,8,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265929d8d1d2d20701,65,120
NM_30_1,2004,2004,2004,date,0,2,2013265930,Wales,W92000004,regions,480,9,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,382.9,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265930d8d1d2d20100,66,120
NM_30_1,2004,2004,2004,date,0,2,2013265930,Wales,W92000004,regions,480,9,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.5,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265930d8d1d2d20701,67,120
NM_30_1,2004,2004,2004,date,0,2,2013265931,Scotland,S92000003,regions,480,10,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,390.6,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265931d8d1d2d20100,68,120
NM_30_1,2004,2004,2004,date,0,2,2013265931,Scotland,S92000003,regions,480,10,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,1.1,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265931d8d1d2d20701,69,120
NM_30_1,2004,2004,2004,date,0,2,2013265932,Northern Ireland,N92000002,regions,480,11,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,372.6,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265932d8d1d2d20100,70,120
NM_30_1,2004,2004,2004,date,0,2,2013265932,Northern Ireland,N92000002,regions,480,11,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20701,Confidence,2.0,A,Normal Value,F,Free (free for publication),Nm-30d1d32064e1d2013265932d8d1d2d20701,71,120
NM_30_1,2005,2005,2005,date,0,3,2013265921,North East,E12000001,regions,480,0,8,Full Time Workers,8,sex,0,0,1,Weekly pay - gross,1,item,0,0,2,Median,2,item,0,0,20100,Value,383.3,A,Normal Value,F,Free (free for publication),Nm-30d1d32080e1d2013265921d8d1d2d20100,72,120
