ons_geography,ons_geography_code,lookup_parent_geography,nomis_geography,mapped,mapping_type,mapping_source
Great Yarmouth,E07000145,Norfolk,Norfolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Greenwich,E09000011,,Greenwich,True,direct_name_match,dataset_name_overlap
Guildford,E07000209,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Gwynedd,W06000002,,Gwynedd,True,direct_name_match,dataset_name_overlap
Hackney,E09000012,,Hackney,True,direct_name_match,dataset_name_overlap
Halton,E06000006,,Halton,True,direct_name_match,dataset_name_overlap
Hambleton,E07000164,North Yorkshire,North Yorkshire,True,official_lookup_parent_match,manual_successor_override
Hammersmith and Fulham,E09000013,,Hammersmith and Fulham,True,direct_name_match,dataset_name_overlap
Harborough,E07000131,Leicestershire,Leicestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Haringey,E09000014,,Haringey,True,direct_name_match,dataset_name_overlap
Harlow,E07000073,Essex,Essex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Harrogate,E07000165,North Yorkshire,North Yorkshire,True,official_lookup_parent_match,manual_successor_override
Harrow,E09000015,,Harrow,True,direct_name_match,dataset_name_overlap
Hart,E07000089,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Hartlepool,E06000001,,Hartlepool,True,direct_name_match,dataset_name_overlap
Hastings,E07000062,East Sussex,East Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Havant,E07000090,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Havering,E09000016,,Havering,True,direct_name_match,dataset_name_overlap
"Herefordshire, County of",E06000019,,"Herefordshire, County of",True,direct_name_match,dataset_name_overlap
Hertsmere,E07000098,Hertfordshire,Hertfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
High Peak,E07000037,Derbyshire,Derbyshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Hillingdon,E09000017,,Hillingdon,True,direct_name_match,dataset_name_overlap
Hinckley and Bosworth,E07000132,Leicestershire,Leicestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Horsham,E07000227,West Sussex,West Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Hounslow,E09000018,,Hounslow,True,direct_name_match,dataset_name_overlap
Huntingdonshire,E07000011,Cambridgeshire,Cambridgeshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Hyndburn,E07000120,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
