ons_geography,ons_geography_code,lookup_parent_geography,nomis_geography,mapped,mapping_type,mapping_source
South Derbyshire,E07000039,Derbyshire,Derbyshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
South Gloucestershire,E06000025,,South Gloucestershire,True,direct_name_match,dataset_name_overlap
South Hams,E07000044,Devon,Devon,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
South Holland,E07000140,Lincolnshire,Lincolnshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
South Kesteven,E07000141,Lincolnshire,Lincolnshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
South Lakeland,E07000031,Westmorland and Furness,Cumbria,True,lookup_parent_manual_one_to_one,manual_successor_override
South Norfolk,E07000149,Norfolk,Norfolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
South Oxfordshire,E07000179,Oxfordshire,Oxfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
South Ribble,E07000126,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
South Somerset,E07000189,Somerset,Somerset,True,official_lookup_parent_match,manual_successor_override
South Staffordshire,E07000196,Staffordshire,Staffordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
South Tyneside,E08000023,,South Tyneside,True,direct_name_match,dataset_name_overlap
Southampton,E06000045,,Southampton,True,direct_name_match,dataset_name_overlap
Southend-on-Sea,E06000033,,Southend-on-sea,True,direct_name_match,dataset_name_overlap
Southwark,E09000028,,Southwark,True,direct_name_match,dataset_name_overlap
Spelthorne,E07000213,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
St Albans,E07000240,Hertfordshire,Hertfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
St. Helens,E08000013,,St Helens,True,direct_name_match,dataset_name_overlap
Stafford,E07000197,Staffordshire,Staffordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Staffordshire Moorlands,E07000198,Staffordshire,Staffordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Stevenage,E07000243,Hertfordshire,Hertfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Stockport,E08000007,,Stockport,True,direct_name_match,dataset_name_overlap
Stockton-on-Tees,E06000004,,Stockton on Tees,True,direct_name_match,dataset_name_overlap
Stoke-on-Trent,E06000021,,Stoke on Trent,True,direct_name_match,dataset_name_overlap
Stratford-on-Avon,E07000221,Warwickshire,Warwickshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Stroud,E07000082,Gloucestershire,Gloucestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Sunderland,E08000024,,Sunderland,True,direct_name_match,dataset_name_overlap
Surrey Heath,E07000214,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Sutton,E09000029,,Sutton,True,direct_name_match,dataset_name_overlap
Swale,E07000113,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Swansea,W06000011,,Swansea,True,direct_name_match,dataset_name_overlap
Swindon,E06000030,,Swindon,True,direct_name_match,dataset_name_overlap
Tameside,E08000008,,Tameside,True,direct_name_match,dataset_name_overlap
Tamworth,E07000199,Staffordshire,Staffordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Tandridge,E07000215,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Teignbridge,E07000045,Devon,Devon,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Telford and Wrekin,E06000020,,Telford and Wrekin,True,direct_name_match,dataset_name_overlap
Tendring,E07000076,Essex,Essex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Test Valley,E07000093,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Tewkesbury,E07000083,Gloucestershire,Gloucestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Thanet,E07000114,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Three Rivers,E07000102,Hertfordshire,Hertfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Thurrock,E06000034,,Thurrock,True,direct_name_match,dataset_name_overlap
Tonbridge and Malling,E07000115,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Torbay,E06000027,,Torbay,True,direct_name_match,dataset_name_overlap
Torfaen,W06000020,,Torfaen,True,direct_name_match,dataset_name_overlap
Torridge,E07000046,Devon,Devon,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Tower Hamlets,E09000030,,Tower Hamlets,True,direct_name_match,dataset_name_overlap
Trafford,E08000009,,Trafford,True,direct_name_match,dataset_name_overlap
Tunbridge Wells,E07000116,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Uttlesford,E07000077,Essex,Essex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Vale of Glamorgan,W06000014,,Vale of Glamorgan,True,direct_name_match,dataset_name_overlap
Vale of White Horse,E07000180,Oxfordshire,Oxfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Wakefield,E08000036,,Wakefield,True,direct_name_match,dataset_name_overlap
Walsall,E08000030,,Walsall,True,direct_name_match,dataset_name_overlap
Waltham Forest,E09000031,,Waltham Forest,True,direct_name_match,dataset_name_overlap
Wandsworth,E09000032,,Wandsworth,True,direct_name_match,dataset_name_overlap
Warrington,E06000007,,Warrington,True,direct_name_match,dataset_name_overlap
Warwick,E07000222,Warwickshire,Warwickshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Watford,E07000103,Hertfordshire,Hertfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Waverley,E07000216,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Wealden,E07000065,East Sussex,East Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Welwyn Hatfield,E07000241,Hertfordshire,Hertfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
West Berkshire,E06000037,,West Berkshire,True,direct_name_match,dataset_name_overlap
West Devon,E07000047,Devon,Devon,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
West Lancashire,E07000127,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
West Lindsey,E07000142,Lincolnshire,Lincolnshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
West Northamptonshire,E06000062,,Northamptonshire,True,manual_one_to_one,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
West Oxfordshire,E07000181,Oxfordshire,Oxfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
West Suffolk,E07000245,Suffolk,Suffolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Westminster,E09000033,,"Westminster, City of",True,direct_name_match,dataset_name_overlap
Wigan,E08000010,,Wigan,True,direct_name_match,dataset_name_overlap
Wiltshire,E06000054,,Wiltshire,True,direct_name_match,dataset_name_overlap
Winchester,E07000094,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Windsor and Maidenhead,E06000040,,Windsor and Maidenhead,True,direct_name_match,dataset_name_overlap
Wirral,E08000015,,Wirral,True,direct_name_match,dataset_name_overlap
Woking,E07000217,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Wokingham,E06000041,,Wokingham,True,direct_name_match,dataset_name_overlap
Wolverhampton,E08000031,,Wolverhampton,True,direct_name_match,dataset_name_overlap
Worcester,E07000237,Worcestershire,Worcestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Worthing,E07000229,West Sussex,West Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Wrexham,W06000006,,Wrexham,True,direct_name_match,dataset_name_overlap
Wychavon,E07000238,Worcestershire,Worcestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Wyre,E07000128,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Wyre Forest,E07000239,Worcestershire,Worcestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
York,E06000014,,York,True,direct_name_match,dataset_name_overlap
