City_Code,City,Date,Mean_Price,Sales_Count,National_CPIU_2022,UK_Weighted_Mean_City_Price_2022,City_CPIU_Proxy_2022
W06000004,St Asaph,2022-03-01,205078.48526,1323.0,121.6811,287352.28838162706,86.84175028955895
E08000036,Wakefield,2022-03-01,200524.75325,4997.0,121.6811,287352.28838162706,84.91344436513869
E06000018,Nottingham,2022-03-01,200235.95072,2922.0,121.6811,287352.28838162706,84.79114915137475
E08000031,Wolverhampton,2022-03-01,199958.29331,2540.0,121.6811,287352.28838162706,84.67357340746044
E07000138,Lincoln,2022-03-01,199375.59113,1465.0,121.6811,287352.28838162706,84.42682457301011
E08000032,Bradford,2022-03-01,189456.44017,7045.0,121.6811,287352.28838162706,80.22649887984599
E08000012,Liverpool,2022-03-01,187991.6979,4942.0,121.6811,287352.28838162706,79.60624472549803
E07000123,Preston,2022-03-01,182906.7783,1917.0,121.6811,287352.28838162706,77.45300413770141
E08000017,Doncaster,2022-03-01,175029.55046,4142.0,121.6811,287352.28838162706,74.11734339207044
E07000028,Carlisle,2022-03-01,171757.84072,1940.0,121.6811,287352.28838162706,72.73191771028434
E08000024,Sunderland,2022-03-01,154900.42786,3216.0,121.6811,287352.28838162706,65.59354219390512
E06000047,Durham,2022-03-01,152404.17837,7507.0,121.6811,287352.28838162706,64.53648994097773
E06000021,Stoke on Trent,2022-03-01,147750.54119,3217.0,121.6811,287352.28838162706,62.565878555724865
E06000010,Kingston upon Hull,2022-03-01,134916.58944,3125.0,121.6811,287352.28838162706,57.1312624784277
