nomis_dataset,DATE,DATE_NAME,SEX,SEX_NAME,PAY,PAY_NAME,ITEM,ITEM_NAME,MEASURES,MEASURES_NAME,GEOGRAPHY_NAME,OBS_VALUE,Source_Geography_Count,GEOGRAPHY_CODE,GEOGRAPHY
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Milton Keynes,533.6,1,E06000042,Milton Keynes
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Milton Keynes,5.1,1,E06000042,Milton Keynes
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Newcastle upon Tyne,495.9,1,E08000021,Newcastle upon Tyne
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Newcastle upon Tyne,3.4,1,E08000021,Newcastle upon Tyne
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Newport,463.2,1,W06000022,Newport
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Newport,6.4,1,W06000022,Newport
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Norwich,465.8,1,E07000148,Norwich
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Norwich,8.2,1,E07000148,Norwich
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Nottingham,434.8,1,E06000018,Nottingham
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Nottingham,3.6,1,E06000018,Nottingham
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Oxford,556.8,1,E07000178,Oxford
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Oxford,3.9,1,E07000178,Oxford
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Perth,516.2,1,S12000024,Perth
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Perth,4.7,1,S12000024,Perth
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Peterborough,460.5,1,E06000031,Peterborough
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Peterborough,4.7,1,E06000031,Peterborough
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Plymouth,483.9,1,E06000026,Plymouth
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Plymouth,3.1,1,E06000026,Plymouth
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Portsmouth,513.4,1,E06000044,Portsmouth
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Portsmouth,3.8,1,E06000044,Portsmouth
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Preston,434.9,1,E07000123,Preston
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Preston,6.4,1,E07000123,Preston
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Ripon,518.7,1,E07000165,Ripon
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Ripon,6.7,1,E07000165,Ripon
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Salford,474.7,1,E08000006,Salford
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Salford,3.2,1,E08000006,Salford
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Salisbury,517.7,1,E06000054,Salisbury
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Salisbury,3.0,1,E06000054,Salisbury
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Sheffield,485.1,1,E08000019,Sheffield
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Sheffield,2.9,1,E08000019,Sheffield
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Southampton,502.4,1,E06000045,Southampton
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Southampton,4.1,1,E06000045,Southampton
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Southend-on-Sea,541.2,1,E06000033,Southend-on-Sea
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Southend-on-Sea,4.5,1,E06000033,Southend-on-Sea
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,St Albans,700.5,1,E07000240,St Albans
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,St Albans,6.0,1,E07000240,St Albans
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,St Asaph,429.9,1,W06000004,St Asaph
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,St Asaph,7.6,1,W06000004,St Asaph
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,St Davids,466.2,1,W06000009,St Davids
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,St Davids,9.0,1,W06000009,St Davids
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Stirling,512.0,1,S12000030,Stirling
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Stirling,8.3,1,S12000030,Stirling
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Stoke on Trent,434.5,1,E06000021,Stoke on Trent
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Stoke on Trent,3.2,1,E06000021,Stoke on Trent
