nomis_dataset,DATE,DATE_NAME,SEX,SEX_NAME,PAY,PAY_NAME,ITEM,ITEM_NAME,MEASURES,MEASURES_NAME,GEOGRAPHY_NAME,Proxy_Flag,Proxy_Source,OBS_VALUE,Source_Geography_Count,GEOGRAPHY_CODE,GEOGRAPHY
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Leeds,False,direct_or_alias,1.8,1,E08000035,Leeds
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Leicester,False,direct_or_alias,481.3,1,E06000016,Leicester
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Leicester,False,direct_or_alias,4.5,1,E06000016,Leicester
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Lichfield,False,direct_or_alias,492.3,1,E07000194,Lichfield
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Lichfield,False,direct_or_alias,7.3,1,E07000194,Lichfield
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Lincoln,False,direct_or_alias,464.2,1,E07000138,Lincoln
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Lincoln,False,direct_or_alias,5.9,1,E07000138,Lincoln
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Liverpool,False,direct_or_alias,506.3,1,E08000012,Liverpool
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Liverpool,False,direct_or_alias,3.1,1,E08000012,Liverpool
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,London,False,direct_or_alias,926.2,1,E09000001,London
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,London,False,direct_or_alias,2.4,1,E09000001,London
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Manchester,False,direct_or_alias,530.7,1,E08000003,Manchester
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Manchester,False,direct_or_alias,2.2,1,E08000003,Manchester
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Milton Keynes,False,direct_or_alias,553.2,1,E06000042,Milton Keynes
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Milton Keynes,False,direct_or_alias,4.4,1,E06000042,Milton Keynes
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Newcastle upon Tyne,False,direct_or_alias,516.9,1,E08000021,Newcastle upon Tyne
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Newcastle upon Tyne,False,direct_or_alias,3.5,1,E08000021,Newcastle upon Tyne
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Newport,False,direct_or_alias,451.4,1,W06000022,Newport
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Newport,False,direct_or_alias,4.7,1,W06000022,Newport
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Norwich,False,direct_or_alias,478.0,1,E07000148,Norwich
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Norwich,False,direct_or_alias,7.3,1,E07000148,Norwich
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Nottingham,False,direct_or_alias,479.1,1,E06000018,Nottingham
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Nottingham,False,direct_or_alias,2.4,1,E06000018,Nottingham
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Oxford,False,direct_or_alias,579.6,1,E07000178,Oxford
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Oxford,False,direct_or_alias,3.1,1,E07000178,Oxford
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Perth,False,direct_or_alias,517.5,1,S12000024,Perth
NM_99_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Perth,False,direct_or_alias,5.3,1,S12000024,Perth
